granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5710560626,0.05094240601,0.5597844685,0.4510405546,True
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5096481271,0.04730980542,0.442252555,0.3059698023,True
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.756684492,0.1728351421,0.6768821168,0.7597410251,True
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5285142571,0.03480312684,0.54343776,0.3982892595,True
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.4280831583,0.00158853102,0.5193395163,0.292888538,True
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.402728513,0.007120579459,0.4927891862,0.2752216924,True
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.6587628866,0.1282100081,0.5768314307,0.5578412032,True
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.6440677966,0.1357375791,0.6052789606,0.5702253846,True
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.7004405286,0.07177020396,0.5990338164,0.6736580107,True
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.741956242,0.08671826311,0.5974616404,0.6552751107,True
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5570776256,0.02690314199,0.5182959402,0.4563035208,True
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5540223665,0.1160184677,0.5196640015,0.3827463131,True
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5135328655,0.08277189026,0.5826099528,0.395614339,True
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.7219512195,0.2549080349,0.6891500449,0.7307054489,True
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.6530366807,0.01579271404,0.5832612962,0.6237730576,True
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.6964908204,0.1843237678,0.6165152922,0.6406712048,True
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5711229947,0.06876290631,0.5535955465,0.4471612777,True
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5048654837,0.02946927994,0.4349475273,0.3161434616,True
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.7540983607,0.189926096,0.6830097485,0.7626625968,True
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5271690944,0.03741563883,0.5411186578,0.3873659294,True
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.4275150256,0.000592242417,0.5204639492,0.2950576766,True
